council,group,color,school,location,date,start,end,day
Camden,Year 5 & 6,blue,Argyle Primary School,"Argyle Primary School, Tonbridge Street, WC1H9EG ",01/19/15,03:00:00 PM,05:30:00 AM,Monday
Camden,Year 3 & 4,green,Argyle Primary School,"Argyle Primary School, Tonbridge Street, WC1H9EG ",01/19/15,09:00:00 AM,11:30:00 AM,Monday
Camden,Year 3 & 4,green,Kingsgate Primary School,"Kingsgate Primary School, Kingsgate Road, NW6 4LB",01/19/15,09:00:00 AM,11:30:00 AM,Monday
Camden,Year 3 & 4,green,St Mary and St Pancras CE Primary School,"St Mary and St Pancras CE Primary School 81 Werrington Street, NW1 1QP",01/19/15,03:30:00 PM,06:00:00 PM,Monday
Camden,Year 3 & 4,green,Brecknock Primary School,"Brecknock Primary School, Cliff Villas, NW1 9AL",01/20/15,09:00:00 AM,11:30:00 AM,Tuesday 
Camden,Year 5 & 6,blue,Carlton Primary School,"Carlton Primary School, Grafton Road, NW5 4AX",01/20/15,01:00:00 PM,03:30:00 PM,Tuesday 
Camden,Year 3 & 4,green,Carlton Primary School,"Carlton Primary School, Grafton Road, NW5 4AX",01/20/15,09:00:00 AM,11:30:00 AM,Tuesday 
Camden,Year 5 & 6,blue,St Aloysius Junior School,"St Aloysius Junior School, Aldenham Street, NW1 1PS",01/20/15,09:00:00 AM,11:30:00 AM,Tuesday
Camden,Year 3 & 4,green,St George the Martyr CE Primary School,"St George the Martyr CE Primary School, John's Mews, WC1N 2NX",01/21/15,09:00:00 AM,11:30:00 AM,Wednesday
Camden,Year 5 & 6,blue,Torriano Junior School,"Torriano Junior School, Torriano Avenue, NW5 2SJ",01/21/15,01:00:00 PM,03:30:00 PM,Wednesday
Camden,Year 3 & 4,green,Torriano Junior School,"Torriano Junior School, Torriano Avenue, NW5 2SJ",01/21/15,09:00:00 AM,11:30:00 AM,Wednesday
Camden,Year 5 & 6,blue,Kingsgate Primary School,"Kingsgate Primary School, Kingsgate Road, NW6 4LB",01/22/15,09:00:00 AM,11:30:00 AM,Thursday
Camden,Year 3 & 4,green,St Aloysius Junior School,"St Aloysius Junior School, Aldenham Street, NW1 1PS",01/22/15,09:00:00 AM,11:30:00 AM,Thursday
Camden,Year 5 & 6,blue,St Mary and St Pancras CE Primary School,"St Mary and St Pancras CE Primary School 81 Werrington Street, NW1 1QP",01/22/15,03:30:00 PM,06:00:00 PM,Thursday
Camden,Year 5 & 6,blue,Brecknock Primary School,"Brecknock Primary School, Cliff Villas, NW1 9AL",01/23/15,09:00:00 AM,11:30:00 AM,Friday
Camden,Year 5 & 6,orange,Argyle Primary School,"Argyle Primary School, Tonbridge Street, WC1H9EG ",01/26/15,03:00:00 PM,05:30:00 AM,Monday
Camden,Year 3 & 4,red,Argyle Primary School,"Argyle Primary School, Tonbridge Street, WC1H9EG ",01/26/15,09:00:00 AM,11:30:00 AM,Monday
Camden,Year 3 & 4,red,Kingsgate Primary School,"Kingsgate Primary School, Kingsgate Road, NW6 4LB",01/26/15,09:00:00 AM,11:30:00 AM,Monday
Camden,Year 3 & 4,red,St Mary and St Pancras CE Primary School,"St Mary and St Pancras CE Primary School 81 Werrington Street, NW1 1QP",01/26/15,01:00:00 PM,03:30:00 PM,Monday
Camden,Year 3 & 4,red,Brecknock Primary School,"Brecknock Primary School, Cliff Villas, NW1 9AL",01/27/15,09:00:00 AM,11:30:00 AM,Tuesday 
Camden,Year 5 & 6,orange,Carlton Primary School,"Carlton Primary School, Grafton Road, NW5 4AX",01/27/15,01:00:00 PM,03:30:00 PM,Tuesday 
Camden,Year 3 & 4,red,Carlton Primary School,"Carlton Primary School, Grafton Road, NW5 4AX",01/27/15,09:00:00 AM,11:30:00 AM,Tuesday 
Camden,Year 5 & 6,orange,St Aloysius Junior School,"St Aloysius Junior School, Aldenham Street, NW1 1PS",01/27/15,09:00:00 AM,11:30:00 AM,Tuesday
Camden,Year 3 & 4,red,St George the Martyr CE Primary School,"St George the Martyr CE Primary School, John's Mews, WC1N 2NX",01/28/15,09:00:00 AM,11:30:00 AM,Wednesday
Camden,Year 5 & 6,orange,Torriano Junior School,"Torriano Junior School, Torriano Avenue, NW5 2SJ",01/28/15,01:00:00 PM,03:30:00 PM,Wednesday
Camden,Year 3 & 4,red,Torriano Junior School,"Torriano Junior School, Torriano Avenue, NW5 2SJ",01/28/15,09:00:00 AM,11:30:00 AM,Wednesday
Camden,Year 5 & 6,orange,Kingsgate Primary School,"Kingsgate Primary School, Kingsgate Road, NW6 4LB",01/29/15,09:00:00 AM,11:30:00 AM,Thursday
Camden,Year 3 & 4,red,St Aloysius Junior School,"St Aloysius Junior School, Aldenham Street, NW1 1PS",01/29/15,09:00:00 AM,11:30:00 AM,Thursday
Camden,Year 5 & 6,orange,St Mary and St Pancras CE Primary School,"St Mary and St Pancras CE Primary School 81 Werrington Street, NW1 1QP",01/29/15,02:30:00 PM,05:00:00 PM,Thursday
