council,group,color,school,location,date,start,end,day
Camden,Year 5 & 6,blue,St Aloysius Junior School,"St Aloysius Junior School, Aldenham Street, NW1 1PS",03/24/15,09:00:00 AM,11:30:00 AM,Tuesday
Camden,Year 3 & 4,green,St George the Martyr CE Primary School,"St George the Martyr CE Primary School, John's Mews, WC1N 2NX",03/25/15,09:00:00 AM,11:30:00 AM,Wednesday
Camden,Year 5 & 6,blue,Torriano Junior School,"Torriano Junior School, Torriano Avenue, NW5 2SJ",03/25/15,01:00:00 PM,03:30:00 PM,Wednesday
Camden,Year 3 & 4,green,Torriano Junior School,"Torriano Junior School, Torriano Avenue, NW5 2SJ",03/25/15,09:00:00 AM,11:30:00 AM,Wednesday
Camden,Year 5 & 6,blue,Kingsgate Primary School,"Kingsgate Primary School, Kingsgate Road, NW6 4LB",03/26/15,09:00:00 AM,11:30:00 AM,Thursday
Camden,Year 3 & 4,green,St Aloysius Junior School,"St Aloysius Junior School, Aldenham Street, NW1 1PS",03/26/15,09:00:00 AM,11:30:00 AM,Thursday
Camden,Year 5 & 6,blue,St Mary and St Pancras CE Primary School,"St Mary and St Pancras CE Primary School 81 Werrington Street, NW1 1QP",03/26/15,03:30:00 PM,06:00:00 PM,Thursday
Camden,Year 5 & 6,blue,Brecknock Primary School,"Brecknock Primary School, Cliff Villas, NW1 9AL",03/27/15,09:00:00 AM,11:30:00 AM,Friday
Camden,Year 5 & 6,orange,Argyle Primary School,"Argyle Primary School, Tonbridge Street, WC1H9EG ",03/30/15,03:00:00 PM,05:30:00 AM,Monday
Camden,Year 3 & 4,red,Argyle Primary School,"Argyle Primary School, Tonbridge Street, WC1H9EG ",03/30/15,09:00:00 AM,11:30:00 AM,Monday
Camden,Year 3 & 4,red,Brecknock Primary School,"Brecknock Primary School, Cliff Villas, NW1 9AL",03/31/15,09:00:00 AM,11:30:00 AM,Tuesday 
Camden,Year 5 & 6,orange,Carlton Primary School,"Carlton Primary School, Grafton Road, NW5 4AX",03/31/15,01:00:00 PM,03:30:00 PM,Tuesday 
